labels,metrics,parents
Licensed IPs by Revenue Share,11101041975,
Japan,5143034186,Licensed IPs by Revenue Share
US,3128491420,Licensed IPs by Revenue Share
South Korea,2605031863,Licensed IPs by Revenue Share
Other,224484506,Licensed IPs by Revenue Share
Pokemon,723565627,Japan
Uma Musume Pretty Derby,629475202,Japan
Dragon Ball Z,561342389,Japan
Fate,553849723,Japan
Dragon Quest,467608279,Japan
One Piece,240870711,Japan
Hatsune Miku,200968945,Japan
Dream Festival!,198476837,Japan
Yu-Gi-Oh,190873467,Japan
Naruto,113207425,Japan
The Seven Deadly Sins,104797786,Japan
Ni no Kuni,104677825,Japan
The Idolmaster,97565186,Japan
Princess Connect! Re:Dive,91673850,Japan
Final Fantasy,90697545,Japan
Fire Emblem,79916511,Japan
That Time I Got Reincarnated as a Slime,64316747,Japan
Yo-kai Watch,62752156,Japan
Contra,55260944,Japan
Super Mario,45947265,Japan
Gundam,37895542,Japan
BanG Dream!,37612206,Japan
One-Punch Man,34330294,Japan
Konami Portfolio,34168217,Japan
Property Brothers,29692165,Japan
Slam Dunk,29627389,Japan
SNK Portfolio,26772481,Japan
Animal Crossing,26471125,Japan
Code Geass,26008473,Japan
My Hero Academia,25318395,Japan
Fullmetal Alchemist,23961569,Japan
Bleach,23116804,Japan
Saint Seiya,22907863,Japan
Nogizaka46,22735989,Japan
The King of Fighters,21870265,Japan
Sakurazaka46,21546642,Japan
Fist of the North Star,21154347,Japan
League of Legends,524808735,US
Marvel Portfolio,379467955,US
Diablo,276545092,US
Disney Animation,261633625,US
FIFA,234435456,US
Star Trek,184493247,US
Star Wars,129492944,US
Game of Thrones,128436642,US
Minecraft,113975513,US
World Series of Poker,109222060,US
The Walking Dead,77047700,US
Caesar's Palace,74389673,US
Yahtzee,72997848,US
Lord of the Rings,68759051,US
Wizard of Oz,60809515,US
WWE,59940644,US
Phase 10,50378018,US
Monopoly,45361092,US
SimCity,43690282,US
Apex Legends,36892741,US
MLB,34836151,US
The Sims,30578221,US
NFL,29560493,US
Magic The Gathering,27313126,US
Jurassic Park,26462964,US
NBA,23536153,US
Uno,23426479,US
PlayerUnknown's Battlegrounds,1585642354,South Korea
Lineage,715251485,South Korea
Ragnarok Online,98944807,South Korea
MapleStory,78423376,South Korea
Blade and Soul,44775615,South Korea
Black Desert Online,43574707,South Korea
KartRider,38419519,South Korea
Harry Potter,199296384,Other
F1,25188122,Other
