unified_app_name,icon_url
던전앤파이터 모바일,https://is1-ssl.mzstatic.com/image/thumb/Purple122/v4/8f/5b/b5/8f5bb5f3-38a4-87a8-4497-67e9a26ff6ee/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
원신,https://is1-ssl.mzstatic.com/image/thumb/Purple112/v4/d8/31/0e/d8310e66-1770-149c-8f96-98606cc169bd/AppIcon-1x_U007emarketing-0-7-0-0-85-220.png/450x450bb.jpg
탕탕특공대,https://is4-ssl.mzstatic.com/image/thumb/Purple112/v4/91/08/3e/91083ebb-caf2-4fc7-ea7d-1d493684afde/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
제2의 나라: Cross Worlds,https://is1-ssl.mzstatic.com/image/thumb/Purple112/v4/53/23/90/5323908c-6ac2-4a80-b3f4-e9bfdaac2a4f/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
언디셈버 - Undecember,https://is2-ssl.mzstatic.com/image/thumb/Purple113/v4/0c/7d/bf/0c7dbf37-ffe6-9fbd-3e84-1fb72a1f11d7/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
붕괴3rd,https://is5-ssl.mzstatic.com/image/thumb/Purple122/v4/62/58/6f/62586f33-0005-30a3-9376-b8b05c96d4e8/AppIcon-0-0-1x_U007emarketing-0-0-0-9-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
MARVEL 퓨처파이트,https://is1-ssl.mzstatic.com/image/thumb/Purple122/v4/a7/09/8f/a7098ff0-6bf9-2d81-9d6b-79ffb52359ff/AppIcon2-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
무한돌파삼국지 리버스L,https://is3-ssl.mzstatic.com/image/thumb/Purple112/v4/ae/9b/77/ae9b77f0-122c-3da3-427b-044590cbbc30/AppIcon-0-0-1x_U007emarketing-0-0-0-10-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
타워 오브 판타지,https://is5-ssl.mzstatic.com/image/thumb/Purple112/v4/58/61/42/586142d8-fc31-d9c3-89ae-574f2f5c45fc/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
1945 - Airplane shooting games,https://is2-ssl.mzstatic.com/image/thumb/Purple123/v4/51/03/08/510308ee-2867-41b0-f9bc-355746e2598e/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
